id,age,start_age,r_date,t_date,dur,raid_v_name,raid_v_add,raid_v_area,raid_v_crd,native_v_name,native_v_add,native_v_area,native_v_crd,indst,income,wage_week,wage_type,paypar,paramt,brought,sisters,brothers,school,class
CH000011,15,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Habibpur,"Barharia, Siwan, BR, IND","Vaishali, Bihar, India","84.47387, 26.28001",,-1,-1,u,no,,,-1,-1,,0
CH000012,10,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Damdari,"Dandari, Begusarai, BR, IND","Muzaffarpur, Bihar, India","86.30043, 25.47375",,-1,-1,u,no,,,-1,-1,,0
CH000013,9,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Goa,,"Muzaffarpur, Bihar, India",,,-1,-1,u,no,,,-1,-1,,0
CH000014,13,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Chuniya,,"Muzaffarpur, Bihar, India",,,-1,-1,u,no,,,-1,-1,,0
CH000015,11,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Kafin Bhar,"Piro, Bhojapur, BR, IND","Muzaffarpur, Bihar, India","84.40226, 25.37006",,-1,-1,u,no,,,-1,-1,,0
CH000016,12,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Jhakre Jal,"Piprakothi, Purba Champaran, BR, IND","Muzaffarpur, Bihar, India","84.95985, 26.56652",,-1,-1,u,no,,,-1,-1,,0
CH000017,13,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Sumera,"Kurhani, Muzaffarpur, BR, IND","Muzaffarpur, Bihar, India","85.32699, 26.07567",,-1,-1,u,no,,,-1,-1,,0
CH000018,12,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Karti Musa,"Bhabua, Kaimur (Bhabua), BR, IND","Muzaffarpur, Bihar, India","83.63332, 25.08562",,-1,-1,u,no,,,-1,-1,,0
CH000019,12,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Sumera,"Kurhani, Muzaffarpur, BR, IND","Muzaffarpur, Bihar, India","85.32699, 26.07567",,-1,-1,u,no,,,-1,-1,,0
CH000020,15,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Bariyapur,"Motihari, Purba Champaran, BR, IND","Muzaffarpur, Bihar, India","84.92186, 26.63774",,-1,-1,u,no,,,-1,-1,,0
CH000021,16,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Ladora,,"Muzaffarpur, Bihar, India",,,-1,-1,u,no,,,-1,-1,,0
CH000022,12,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Tihari,"Tekari, Gaya, BR, IND","Muzaffarpur, Bihar, India","84.82946, 24.93474",,-1,-1,u,no,,,-1,-1,,0
CH000023,13,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Mandau,"Gaya Sub-District, Gaya, BR, IND","Muzaffarpur, Bihar, India","85.03218, 24.89833",,-1,-1,u,no,,,-1,-1,,0
CH000024,15,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Gamosaro,,"Muzaffarpur, Bihar, India",,,-1,-1,u,no,,,-1,-1,,0
CH000025,13,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Damdari,"Dandari, Begusarai, BR, IND","Muzaffarpur, Bihar, India","86.30043, 25.47375",,-1,-1,u,no,,,-1,-1,,0
CH000026,16,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Akabarpur,"Akabarapur, Navada, BR, IND","Muzaffarpur, Bihar, India","85.55308, 24.74795",,-1,-1,u,no,,,-1,-1,,0
CH000027,12,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Khanpur Berai,"Shahkund, Bhagalpur, BR, IND","Muzaffarpur, Bihar, India","86.84641, 25.12877",,-1,-1,u,no,,,-1,-1,,0
CH000028,10,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Tiharimada,,"Muzaffarpur, Bihar, India",,,-1,-1,u,no,,,-1,-1,,0
CH000029,13,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Simanpatti,"Kurhani, Muzaffarpur, BR, IND","Muzaffarpur, Bihar, India","85.38895, 26.06852",,-1,-1,u,no,,,-1,-1,,0
CH000030,17,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Piprakhurd,"Saraigarh Bhaptiyahi, Supaul, BR, IND","Sitamarhi, Bihar, India","86.76118, 26.31085",,-1,-1,u,no,,,-1,-1,,0
CH000031,13,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Gurwaruhn,,"Sitamarhi, Bihar, India",,,-1,-1,u,no,,,-1,-1,,0
CH000032,10,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Adhgai,"Sonbarsa, Sitamarhi, BR, IND","Sitamarhi, Bihar, India","85.66565, 26.73864",,-1,-1,u,no,,,-1,-1,,0
CH000033,13,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Sirsiya (Goat),"Singheshwar, Madhepura, BR, IND","Sitamarhi, Bihar, India","86.80781, 26.08402",,-1,-1,u,no,,,-1,-1,,0
CH000034,15,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Gurda,"Naokothi, Begusarai, BR, IND","Sitamarhi, Bihar, India","86.19768, 25.54737",,-1,-1,u,no,,,-1,-1,,0
CH000035,13,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Bairaha,"Bathnaha, Sitamarhi, BR, IND","Sitamarhi, Bihar, India","85.51391, 26.65635",,-1,-1,u,no,,,-1,-1,,0
CH000036,12,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Adhanhi Par,,"Sitamarhi, Bihar, India",,,-1,-1,u,no,,,-1,-1,,0
CH000037,15,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Chakdonai,"Runisaidpur, Sitamarhi, BR, IND","Sitamarhi, Bihar, India","85.49785, 26.40305",,-1,-1,u,no,,,-1,-1,,0
CH000038,15,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Chakdonai,"Runisaidpur, Sitamarhi, BR, IND","Sitamarhi, Bihar, India","85.49785, 26.40305",,-1,-1,u,no,,,-1,-1,,0
CH000039,10,0,06/04/2005,20/08/2002,960,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Dumra,"Dumra, Sitamarhi, BR, IND","Sitamarhi, Bihar, India","85.5652, 26.56159",,-1,-1,u,,,,-1,-1,,0
CH000040,10,0,06/04/2005,18/12/2002,840,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Dumra,"Dumra, Sitamarhi, BR, IND","Sitamarhi, Bihar, India","85.5652, 26.56159",,-1,-1,u,,,,-1,-1,,0
CH000041,14,0,06/04/2005,21/02/2002,1140,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Barheta,"Kalyanpur, Samastipur, BR, IND","Sitamarhi, Bihar, India","85.8084, 26.00559",,-1,-1,u,,,,-1,-1,,0
CH000042,8,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Behrahi,"Jhanjharpur, Madhubani, BR, IND","Sitamarhi, Bihar, India","86.37423, 26.26333",Garment,-1,-1,u,,,,-1,-1,,0
CH000043,11,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Hari Purwa,,"Sarlahi District (Malangwa), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000044,10,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Sunmma,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000045,11,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Rajkor,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000046,16,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Rachkor,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000047,15,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Rachkor,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000048,13,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Nigol,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000049,16,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Sunmma,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000050,15,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Shorbhar,,"Sitamarhi, Bihar, India",,Garment,-1,-1,u,,,,-1,-1,,0
CH000051,16,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Sunmma,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000052,14,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Sunmma,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000053,16,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Konama,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000054,12,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Sunmma,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000055,12,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Sunmma,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000056,15,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Nigol,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000057,15,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Nigol,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000058,12,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Nigol,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000059,14,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Nigol,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000060,14,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Nigol,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000061,15,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Nigol,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000062,15,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Nigol,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000063,12,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Nigol,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000064,15,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Nigol,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000065,15,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Dharampur,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000066,16,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Vijaypura,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000067,14,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Vijaypura,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000068,15,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Vijaypura,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000069,10,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Khakhna,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000070,12,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Kubara,,"Dhanusa District (Janakpur), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000071,13,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Khakhna,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000072,12,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Ramgopalpur,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000073,17,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Bigol,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000074,15,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Sita Nagar,,", , India",,Garment,-1,-1,u,,,,-1,-1,,0
CH000075,13,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Jandaha,"Jandaha, Vaishali, BR, IND","Vaishali, Bihar, India","85.49744, 25.74137",Garment,-1,-1,u,,,,-1,-1,,0
CH000076,17,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Nigol,,"Mahottari District (Jaleswor), Janakpur, Nepal",,Garment,-1,-1,u,,,,-1,-1,,0
CH000077,17,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Suroi,"Domariyaganj, Siddharthnagar, UP, IND","Ballia, Uttar Pradesh, India","82.69762, 27.16894",Garment,-1,-1,u,,,,-1,-1,,0
CH000078,10,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Sirsiya (Goat),"Singheshwar, Madhepura, BR, IND","Sitamarhi, Bihar, India","86.80781, 26.08402",Garment,-1,-1,u,,,,-1,-1,,0
CH000079,12,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Adhigai,,"Sitamarhi, Bihar, India",,Garment,-1,-1,u,,,relatives,-1,-1,,0
CH000080,14,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Borau Choudharypur,"Ramsanehighat, Barabanki, UP, IND","Ambedkar Nagar, Uttar Pradesh, India","81.5668, 26.88631",Garment,-1,-1,u,,,,-1,-1,,0
CH000081,15,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Ramnagar,"Ramnagar, Pashchim Champaran, BR, IND","Sitamarhi, Bihar, India","84.3293, 27.16572",Garment,-1,-1,u,,,,-1,-1,,0
CH000082,15,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Madhurapur,"Bajpatti, Sitamarhi, BR, IND","Sitamarhi, Bihar, India","85.64955, 26.55214",Garment,-1,-1,u,,,relatives,-1,-1,,0
CH000083,15,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Ramnaika,"Sonbarsa, Sitamarhi, BR, IND","Sitamarhi, Bihar, India","85.65899, 26.73375",Garment,-1,-1,u,,,,-1,-1,,0
CH000084,17,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Gaushala,"Barauni Sub-District, Begusarai, BR, IND","Sitamarhi, Bihar, India","85.92116, 25.39141",Garment,-1,-1,u,,,,-1,-1,,0
CH000085,11,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Bara/Nonahi,"Sonbarsa, Sitamarhi, BR, IND","Sitamarhi, Bihar, India","85.65797, 26.75686",Garment,-1,-1,u,,,,-1,-1,,0
CH000086,16,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Harpur Ballabi,"Banmankhi, Purnia, BR, IND","Sitamarhi, Bihar, India","87.14785, 25.92962",Garment,-1,-1,u,,,,-1,-1,,0
CH000087,12,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Sirsiya (Goat),"Singheshwar, Madhepura, BR, IND","Sitamarhi, Bihar, India","86.80781, 26.08402",Garment,-1,-1,u,,,,-1,-1,,0
CH000088,17,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Rasulpur,"Firozabad, Firozabad, UP, IND","Ballia, Uttar Pradesh, India","78.40709, 27.14305",Garment,-1,-1,u,,,,-1,-1,,0
CH000089,16,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Hanuman Nagar,"Patna, Patna, BR, IND","Sitamarhi, Bihar, India","85.16205, 25.58842",Garment,-1,-1,u,,,relatives,-1,-1,,0
CH000090,16,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Sirsiya (Goat),"Singheshwar, Madhepura, BR, IND","Sitamarhi, Bihar, India","86.80781, 26.08402",Garment,-1,-1,u,,,,-1,-1,,0
CH000091,13,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Sirsiya (Goat),"Singheshwar, Madhepura, BR, IND","Sitamarhi, Bihar, India","86.80781, 26.08402",Garment,-1,-1,u,,,,-1,-1,,0
CH000092,17,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Hardahiya,"Jogapattee, Paschim Champaaran, BR, IND","Sitamarhi, Bihar, India","84.29366, 26.88845",Garment,-1,-1,u,,,,-1,-1,,0
CH000093,15,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Sirsiya Bazar,,"Sitamarhi, Bihar, India",,Garment,-1,-1,u,,,,-1,-1,,0
CH000094,17,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Ramnaika,"Sonbarsa, Sitamarhi, BR, IND","Sitamarhi, Bihar, India","85.65899, 26.73375",Garment,-1,-1,u,,,,-1,-1,,0
CH000095,15,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Shri Ram Pur,"Amarapur, Banka, BR, IND","Sitamarhi, Bihar, India","86.83926, 25.00793",Garment,-1,-1,u,,,,-1,-1,,0
CH000096,16,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Piprakhurd,"Saraigarh Bhaptiyahi, Supaul, BR, IND","Sitamarhi, Bihar, India","86.76118, 26.31085",Garment,-1,-1,u,,,relatives,-1,-1,,0
CH000097,16,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Masha Tola,"Dhamdaha, Purnia, BR, IND","Sitamarhi, Bihar, India","87.28029, 25.73496",Garment,-1,-1,u,,,relatives,-1,-1,,0
CH000098,15,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Masha Tola,"Dhamdaha, Purnia, BR, IND","Sitamarhi, Bihar, India","87.28029, 25.73496",Garment,-1,-1,u,,,relatives,-1,-1,,0
CH000099,16,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Bairaha,"Bathnaha, Sitamarhi, BR, IND","Sitamarhi, Bihar, India","85.51391, 26.65635",Garment,-1,-1,u,,,relatives,-1,-1,,0
CH000100,16,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Bairaha,"Bathnaha, Sitamarhi, BR, IND","Sitamarhi, Bihar, India","85.51391, 26.65635",Garment,-1,-1,u,,,relatives,-1,-1,,0
CH000101,17,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Bairaha,"Bathnaha, Sitamarhi, BR, IND","Sitamarhi, Bihar, India","85.51391, 26.65635",Garment,-1,-1,u,,,middle_man,-1,-1,,0
CH000102,17,0,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.30348, 28.50738",Bairaha,"Bathnaha, Sitamarhi, BR, IND","Sitamarhi, Bihar, India","85.51391, 26.65635",Garment,-1,-1,u,,,relatives,-1,-1,,0
