id,age,r_date,t_date,dur,raid_v_name,raid_v_add,raid_v_crd,native_v_name,native_v_add,native_v_crd,indst,paypar,paramt,brought
CH000028,10,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Tiharimada,,,,no,,
CH000029,13,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Simanpatti,"Kurhani, Muzaffarpur, BR, IND","85.38895, 26.06852",,no,,
CH000030,17,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Piprakhurd,"Saraigarh Bhaptiyahi, Supaul, BR, IND","86.76118, 26.31085",,no,,
CH000031,13,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Gurwaruhn,,,,no,,
CH000032,10,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Adhgai,"Sonbarsa, Sitamarhi, BR, IND","85.66565, 26.73864",,no,,
CH000033,13,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Sirsiya (Goat),"Singheshwar, Madhepura, BR, IND","86.80781, 26.08402",,no,,
CH000034,15,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Gurda,"Naokothi, Begusarai, BR, IND","86.19768, 25.54737",,no,,
CH000035,13,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Bairaha,"Bathnaha, Sitamarhi, BR, IND","85.51391, 26.65635",,no,,
CH000036,12,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Adhanhi Par,,,,no,,
CH000037,15,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Chakdonai,"Runisaidpur, Sitamarhi, BR, IND","85.49785, 26.40305",,no,,
CH000038,15,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Chakdonai,"Runisaidpur, Sitamarhi, BR, IND","85.49785, 26.40305",,no,,
CH000039,10,06/04/2005,20/08/2002,960,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Dumra,"Dumra, Sitamarhi, BR, IND","85.5652, 26.56159",,,,
CH000040,10,06/04/2005,18/12/2002,840,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Dumra,"Dumra, Sitamarhi, BR, IND","85.5652, 26.56159",,,,
CH000041,14,06/04/2005,21/02/2002,1140,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Barheta,"Kalyanpur, Samastipur, BR, IND","85.8084, 26.00559",,,,
CH000042,8,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Behrahi,"Jhanjharpur, Madhubani, BR, IND","86.37423, 26.26333",Garment,,,
CH000043,11,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Hari Purwa,,,Garment,,,
CH000044,10,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Sunmma,,,Garment,,,
CH000045,11,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Rajkor,,,Garment,,,
CH000046,16,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Rachkor,,,Garment,,,
CH000047,15,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Rachkor,,,Garment,,,
CH000048,13,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Nigol,,,Garment,,,
CH000049,16,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Sunmma,,,Garment,,,
CH000050,15,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Shorbhar,,,Garment,,,
CH000051,16,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Sunmma,,,Garment,,,
CH000052,14,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Sunmma,,,Garment,,,
CH000053,16,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Konama,,,Garment,,,
CH000054,12,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Sunmma,,,Garment,,,
CH000055,12,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Sunmma,,,Garment,,,
CH000056,15,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Nigol,,,Garment,,,
CH000057,15,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Nigol,,,Garment,,,
CH000058,12,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Nigol,,,Garment,,,
CH000059,14,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Nigol,,,Garment,,,
CH000060,14,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Nigol,,,Garment,,,
CH000061,15,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Nigol,,,Garment,,,
CH000062,15,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Nigol,,,Garment,,,
CH000063,12,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Nigol,,,Garment,,,
CH000064,15,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Nigol,,,Garment,,,
CH000065,15,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Dharampur,,,Garment,,,
CH000066,16,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Vijaypura,,,Garment,,,
CH000067,14,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Vijaypura,,,Garment,,,
CH000068,15,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Vijaypura,,,Garment,,,
CH000069,10,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Khakhna,,,Garment,,,
CH000070,12,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Kubara,,,Garment,,,
CH000071,13,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Khakhna,,,Garment,,,
CH000072,12,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Ramgopalpur,,,Garment,,,
CH000073,17,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Bigol,,,Garment,,,
CH000074,15,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Sita Nagar,,,Garment,,,
CH000075,13,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Jandaha,"Jandaha, Vaishali, BR, IND","85.49744, 25.74137",Garment,,,
CH000076,17,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Nigol,,,Garment,,,
CH000077,17,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Suroi,"Domariyaganj, Siddharthnagar, UP, IND","82.69762, 27.16894",Garment,,,
CH000078,10,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Sirsiya (Goat),"Singheshwar, Madhepura, BR, IND","86.80781, 26.08402",Garment,,,
CH000079,12,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Adhigai,,,Garment,,,relatives
CH000080,14,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Borau Choudharypur,"Ramsanehighat, Barabanki, UP, IND","81.5668, 26.88631",Garment,,,
CH000081,15,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Ramnagar,"Ramnagar, Pashchim Champaran, BR, IND","84.3293, 27.16572",Garment,,,
CH000082,15,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Madhurapur,"Bajpatti, Sitamarhi, BR, IND","85.64955, 26.55214",Garment,,,relatives
CH000083,15,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Ramnaika,"Sonbarsa, Sitamarhi, BR, IND","85.65899, 26.73375",Garment,,,
CH000084,17,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Gaushala,"Barauni Sub-District, Begusarai, BR, IND","85.92116, 25.39141",Garment,,,
CH000085,11,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Bara/Nonahi,"Sonbarsa, Sitamarhi, BR, IND","85.65797, 26.75686",Garment,,,
CH000086,16,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Harpur Ballabi,"Banmankhi, Purnia, BR, IND","87.14785, 25.92962",Garment,,,
CH000087,12,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Sirsiya (Goat),"Singheshwar, Madhepura, BR, IND","86.80781, 26.08402",Garment,,,
CH000088,17,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Rasulpur,"Firozabad, Firozabad, UP, IND","78.40709, 27.14305",Garment,,,
CH000089,16,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Hanuman Nagar,"Patna, Patna, BR, IND","85.16205, 25.58842",Garment,,,relatives
CH000090,16,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Sirsiya (Goat),"Singheshwar, Madhepura, BR, IND","86.80781, 26.08402",Garment,,,
CH000091,13,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Sirsiya (Goat),"Singheshwar, Madhepura, BR, IND","86.80781, 26.08402",Garment,,,
CH000092,17,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Hardahiya,"Jogapattee, Paschim Champaaran, BR, IND","84.29366, 26.88845",Garment,,,
CH000093,15,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Sirsiya Bazar,,,Garment,,,
CH000094,17,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Ramnaika,"Sonbarsa, Sitamarhi, BR, IND","85.65899, 26.73375",Garment,,,
CH000095,15,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Shri Ram Pur,"Amarapur, Banka, BR, IND","86.83926, 25.00793",Garment,,,
CH000096,16,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Piprakhurd,"Saraigarh Bhaptiyahi, Supaul, BR, IND","86.76118, 26.31085",Garment,,,relatives
CH000097,16,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Masha Tola,"Dhamdaha, Purnia, BR, IND","87.28029, 25.73496",Garment,,,relatives
CH000098,15,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Masha Tola,"Dhamdaha, Purnia, BR, IND","87.28029, 25.73496",Garment,,,relatives
CH000099,16,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Bairaha,"Bathnaha, Sitamarhi, BR, IND","85.51391, 26.65635",Garment,,,relatives
CH000100,16,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Bairaha,"Bathnaha, Sitamarhi, BR, IND","85.51391, 26.65635",Garment,,,relatives
CH000101,17,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Bairaha,"Bathnaha, Sitamarhi, BR, IND","85.51391, 26.65635",Garment,,,middle_man
CH000102,17,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Bairaha,"Bathnaha, Sitamarhi, BR, IND","85.51391, 26.65635",Garment,,,relatives
CH000103,11,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Bairaha,"Bathnaha, Sitamarhi, BR, IND","85.51391, 26.65635",Garment,,,
CH000104,15,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Bairaha,"Bathnaha, Sitamarhi, BR, IND","85.51391, 26.65635",Garment,,,
CH000105,11,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Bairaha,"Bathnaha, Sitamarhi, BR, IND","85.51391, 26.65635",Garment,,,
CH000106,17,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Bairaha,"Bathnaha, Sitamarhi, BR, IND","85.51391, 26.65635",Garment,,,relatives
CH000107,11,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Mohini Mandal,"Baisee, Purniya, BR, IND","87.7595, 25.84354",Garment,,,relatives
CH000108,14,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Harihar Pur,"Bhore, Gopalaganj, BR, IND","84.08978, 26.42888",Garment,,,
CH000109,17,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Masha Tola,"Dhamdaha, Purnia, BR, IND","87.28029, 25.73496",Garment,,,relatives
CH000110,10,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Bairaha,"Bathnaha, Sitamarhi, BR, IND","85.51391, 26.65635",Garment,,,
CH000111,14,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Bairaha,"Bathnaha, Sitamarhi, BR, IND","85.51391, 26.65635",Garment,,,
CH000112,14,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Bairaha,"Bathnaha, Sitamarhi, BR, IND","85.51391, 26.65635",Garment,,,
CH000113,14,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Sahasram,"Biraul, Darbhanga, BR, IND","86.17483, 25.94826",Garment,,,
CH000114,14,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Sahasram,"Biraul, Darbhanga, BR, IND","86.17483, 25.94826",Garment,,,
CH000115,14,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Sahasram,"Biraul, Darbhanga, BR, IND","86.17483, 25.94826",Garment,,,relatives
CH000116,14,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Adhigai,,,Garment,,,relatives
CH000117,12,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Adhgai,"Sonbarsa, Sitamarhi, BR, IND","85.66565, 26.73864",Garment,,,relatives
CH000118,15,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Adhgai,"Sonbarsa, Sitamarhi, BR, IND","85.66565, 26.73864",Garment,,,
CH000119,15,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Mazaura,"Piprarhi, Sheohar, BR, IND","85.30883, 26.56025",Garment,,,
CH000120,12,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Virpur,"Chiraia, Purba Champaran, BR, IND","85.08861, 26.69001",Garment,,,
CH000121,17,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Sahasram,"Biraul, Darbhanga, BR, IND","86.17483, 25.94826",Garment,,,relatives
CH000122,17,09/04/2005,,-1,Badarpur,"Delhi, South, DL, IND","77.30348, 28.50738",Bhosala,,,,no,,relatives
CH000123,11,18/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452","Chitoniya,Majhwa,Siyara","Falka, Katihar, BR, IND","87.26881, 25.60014",Carpet Industry,,,
CH000124,9,18/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452","Chitoniya,Majhwa,Siyara","Falka, Katihar, BR, IND","87.26881, 25.60014",Carpet Industry,,,
CH000125,15,18/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452","Chitoniya,Majhwa,Siyara","Falka, Katihar, BR, IND","87.26881, 25.60014",Carpet Industry,,,
CH000126,14,18/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452","Chitoniya,Majhwa,Siyara","Falka, Katihar, BR, IND","87.26881, 25.60014",Carpet Industry,,,
CH000127,10,18/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452","Chitoniya,Majhwa,Siyara","Falka, Katihar, BR, IND","87.26881, 25.60014",Carpet Industry,,,
CH000128,12,18/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452","Chitoniya,Majhwa,Siyara","Falka, Katihar, BR, IND","87.26881, 25.60014",Carpet Industry,,,
CH000129,15,18/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452","Chitoniya,Majhwa,Siyara","Falka, Katihar, BR, IND","87.26881, 25.60014",Carpet Industry,,,
CH000130,11,18/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452","Chitoniya,Majhwa,Siyara","Falka, Katihar, BR, IND","87.26881, 25.60014",Carpet Industry,,,
CH000131,16,18/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452","Chitoniya,Majhwa,Siyara","Falka, Katihar, BR, IND","87.26881, 25.60014",Carpet Industry,,,
CH000132,14,18/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452","Chitoniya,Majhwa,Siyara","Falka, Katihar, BR, IND","87.26881, 25.60014",Carpet Industry,,,
CH000133,12,18/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452","Chitoniya,Majhwa,Siyara","Falka, Katihar, BR, IND","87.26881, 25.60014",Carpet Industry,,,
CH000134,15,21/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452",Bharari,"Kota, Bilaspur, CT, IND","82.14731, 22.24354",Carpet Industry,,,
CH000135,20,21/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452",Mangla,"Bilaspur, Bilaspur, CT, IND","82.12666, 22.09697",Carpet Industry,,,
CH000136,20,21/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452",Mangla,"Bilaspur, Bilaspur, CT, IND","82.12666, 22.09697",Carpet Industry,,,
CH000137,13,21/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452","Madhukar,Bharari","Kota, Bilaspur, CT, IND","82.14731, 22.24354",Carpet Industry,,,
CH000138,15,21/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452","Madhukar,Bharari","Kota, Bilaspur, CT, IND","82.14731, 22.24354",Carpet Industry,,,
CH000139,20,21/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452","Madhukar,Bharari","Kota, Bilaspur, CT, IND","82.14731, 22.24354",Carpet Industry,,,
CH000140,17,21/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452",Sukulkari,"Masturi, Bilaspur, CT, IND","82.26191, 21.91552",Carpet Industry,,,
CH000141,20,21/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452",Sukulkari,"Masturi, Bilaspur, CT, IND","82.26191, 21.91552",Carpet Industry,,,
CH000142,13,24/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452","Miyapur,PO-Chainpur Mamuaa","Mohanpur, Samastipur, BR, IND","85.61168, 25.54241",Carpet Industry,,,
CH000143,17,24/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452","Ramawalpur,Bhagwanpur Mamuaa","Bhagwanpur, Kaimur (Bhabua), BR, IND","83.65987, 24.91793",Carpet Industry,,,
CH000144,13,24/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452","Shamalpad,Noorpur",,,Carpet Industry,,,
CH000145,13,24/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452",Paranpur,"Purbasthali-I, Barddhaman, WB, IND","88.32169, 23.43255",Carpet Industry,,,
CH000146,12,24/04/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452",Rotha,"Anupshahr, Bulandshahar, UP, IND","78.12266, 28.42775",Carpet Industry,,,
CH000147,12,02/05/2005,,-1,Govandi,"Mumbai, Mumbai Suburban, MH, IND","72.91692, 19.06117",Andhra Mu,"Parsauni, Sitamarhi, BR, IND","85.40908, 26.50267",Garment,no,,
CH000148,13,02/05/2005,,-1,Govandi,"Mumbai, Mumbai Suburban, MH, IND","72.91692, 19.06117",Andhra Mu,"Parsauni, Sitamarhi, BR, IND","85.40908, 26.50267",Garment,no,,
CH000149,14,02/05/2005,,-1,Govandi,"Mumbai, Mumbai Suburban, MH, IND","72.91692, 19.06117",Andhra Mu,"Parsauni, Sitamarhi, BR, IND","85.40908, 26.50267",Garment,no,,
CH000150,18,05/05/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452",Barhat,"Barhat, Jamui, BR, IND","86.29393, 25.01249",Carpet Industry,,,
CH000151,15,05/05/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452",Barhat,"Barhat, Jamui, BR, IND","86.29393, 25.01249",Carpet Industry,,,
CH000152,12,05/05/2005,,-1,Bhadohi,"Bhadohi, Sant Ravidas Nagar (Bhadohi), UP, IND","82.56855, 25.39452",Barhat,"Barhat, Jamui, BR, IND","86.29393, 25.01249",Carpet Industry,,,
